queue_index,queue_item_id,case_id,method_id,budget,terminal_status,metric_semantics,comparison_eligible,energy_hartree,FCI_energy_hartree,absolute_fci_error_hartree,delta_energy_vs_immutable_ceo_source_hartree,accepted_candidate_count,parameter_count,operators_blocks,logical_block_count,cnot_count,cnot_depth,total_depth,candidate_energy_evaluations,source_energy_evaluations,FCI_evaluations,production_N_dense_expm,total_registered_work,verifier_matrix_dimension,verifier_qubit_count,result_digest,receipt_digest,N_symbolic_checks,N_sparse_expm_multiply,N_state_probe_vectors,N_dense_expm,N_circuit_operator_builds,N_generator_materializations,candidate_generations,unique_semantic_candidates,unique_physical_states,rewrite_verifications,resource_recounts,optimizer_iterations,energy_evaluations,gradient_vector_evaluations,gradient_component_equivalents,hvp_evaluations,optimizer_starts,search_states,statevector_recomputations
45,s11-v2-item-v2:817934db995487700ffe8e8f295c4122a3e675889110b1db016560c1acf3d357,h6-3.0,v4.1-one-shot-joint-compression,MEDIUM,ALGORITHM_REJECTED,nonaccepted_terminal_observation,False,-2.7994516590123237,-2.800958899654442,0.0015072406421183793,NA,0,149,95,95,785,294,1493,273,0,0,0,40202,4096,12,029a785e8ff59ee2516fb61ea8a65508eee70e96c234630313b0c8ac2f1c96e3,019bac23035abe41fa0253ad680837d9611497fdb3d81e93cb9d1a970cea9f7b,27,39,12,0,264,10,4,4,4,4,12,250,273,271,39024,0,1,0,3
46,s11-v2-item-v2:19a70ddfd5dd3b2b23fd1099044c5c4ba2a7caeec61498042aefbe5cfff86c42,h6-3.0,v5-fixed-source-whitelist-no-replenishment,MEDIUM,COMPLETED,accepted_result,True,-2.7994516589210527,-2.800958899654442,0.00150724073338937,9.127099076522427e-11,1,148,95,95,785,294,1493,6,0,0,0,23274,4096,12,6b61719d170a430a2f369874522724fcafe52d9b61a1ec789691a2e080f0bde9,9a997b819f45d44e83d769e6fc1c8f9388896bce3756e6652ea869cab154695d,444,42,12,0,20144,10,419,359,359,4,722,4,6,5,740,0,1,0,3
47,s11-v2-item-v2:8d86ca281e3de2d4de6b26754b67eb3e02a0db2fc07d120f4b679b19b23fdbaa,h6-3.0,v5-sequential-with-rebuilding,MEDIUM,COMPLETED,accepted_result,True,-2.7994516589210527,-2.800958899654442,0.00150724073338937,9.127099076522427e-11,1,148,95,95,785,294,1493,6,0,0,0,23274,4096,12,516585c8bcb05a1ca7855d666d3a34b5e0812fd54bd7718747ec7d20bd58f3ec,a195e484a287c9976b263377cc372f713051143cad50c46cdb723a80abc40471,444,42,12,0,20144,10,419,359,359,4,722,4,6,5,740,0,1,0,3
48,s11-v2-item-v2:44a37655f0960c7f122ae4425e5f7355d7729f923a39156b301a44e178bdba11,h6-3.0,immutable-ceo-star-source,HIGH,COMPLETED,accepted_result,True,-2.7994516590123237,-2.800958899654442,0.0015072406421183793,0.0,0,149,95,95,785,294,1493,0,0,0,0,2,0,0,d82451469ebf210a8ebbdd4cc7074721325dca54f3d022798e4b3d7ee4adf3f9,5580c3da18f24168c90733d66854ad6b0a255ce7a9e8b582969bd4630a0013f8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
49,s11-v2-item-v2:3f938842c3164ee9ed68cfd6fdfd64011995af2bb1fb227bc94297a8336de815,h6-3.0,same-structure-reoptimization,HIGH,COMPLETED,accepted_result,True,-2.7994516590123237,-2.800958899654442,0.0015072406421183793,0.0,1,149,95,95,785,294,1493,1,0,0,0,8,0,0,37452d14294f9b781267d2ea97705c0f69b9f1a2f84b79fb85e6e5f21d43b13c,fc5fe0b73d93df18731143c0e4f45759d9052d6d4ff2973c5cec41a426144830,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,3
50,s11-v2-item-v2:af131ed6f7e00158d6f5607d603195d579f0eeb655f443c919f4d84f3fce6249,h6-3.0,structural-magnitude-pruning,HIGH,COMPLETED,accepted_result,True,-2.799451619335648,-2.800958899654442,0.001507280318794102,3.9676675722688515e-08,4,145,95,95,785,294,1487,38,0,0,0,41809,4096,12,4d1402f02aba06cec716195c8133d1bee01cf09069c8dde32254f8b8829d76fc,9dfb6a445c9e9228f523e80791ba3ff49856c2ba3c9b1fe3870b47b273d7eedf,590,0,0,0,33152,0,590,590,590,16,1193,26,38,34,4977,0,4,0,9
51,s11-v2-item-v2:d3be64a4e2bf2f0433dbb0916aa8a11e2f67fed9aeeacd49a901cdf7ca938822,h6-3.0,v4.1-one-shot-joint-compression,HIGH,ALGORITHM_REJECTED,nonaccepted_terminal_observation,False,-2.7994516590123237,-2.800958899654442,0.0015072406421183793,NA,0,149,95,95,785,294,1493,273,0,0,0,40202,4096,12,da799664bfb3eeefccd344e40e766deb2d9f479b6ad779cf239040e7fc9a97f0,46994e091a693c77e88e0cbf75f74d33e4e4a0cbd9b56602970a3a427db0ea6d,27,39,12,0,264,10,4,4,4,4,12,250,273,271,39024,0,1,0,3
52,s11-v2-item-v2:8ab66fc1bea7f5ac132e32d94d5c30508a4e8152991c3eb719c3b4e8f3199869,h6-3.0,v5-fixed-source-whitelist-no-replenishment,HIGH,COMPLETED,accepted_result,True,-2.799451650440422,-2.800958899654442,0.0015072492140202343,8.571901854992348e-09,3,146,95,95,781,294,1479,22,0,0,0,68465,4096,12,96beed07428f2ceb00ea524b9a3c3c48f32323fe5a472293641a2a0f1258b457,bedd4007830104d921705c6e055049cb72c58b76033931a35b1a0cd5c73cc89b,1294,120,36,0,58696,31,1224,1046,1046,12,2102,16,22,19,2791,0,3,0,7
53,s11-v2-item-v2:894b40d37d01e8633d3aa89867aae1d2873a3d27d711dc2970ca22d470ad6eb1,h6-3.0,v5-sequential-with-rebuilding,HIGH,COMPLETED,accepted_result,True,-2.799451650440422,-2.800958899654442,0.0015072492140202343,8.571901854992348e-09,3,146,95,95,781,294,1479,22,0,0,0,69155,4096,12,74597cc2ace470d50c63dbbc3231607c8af3e37b5fc814f11a24e4ef80387073,c00a35ef6dad0bf3701f3878177bea0502a428f33e2afb9c27895d47745650fc,1309,120,36,0,59312,31,1239,1057,1057,12,2124,16,22,19,2791,0,3,0,7
54,s11-v2-item-v2:8b213234fa4258cfe28c2cc1d117415cc53c70131e1770e9680517299ea4b348,beh2-3.0,immutable-ceo-star-source,LOW,COMPLETED,accepted_result,True,-15.335468001671352,-15.336804236064967,0.0013362343936158538,0.0,0,38,32,32,284,94,458,0,0,0,0,2,0,0,d900613337e7927ca559cbab06b5d3a7da6c32a74329b92b8bb1b8e5ea4a24ba,9a738405c6315425d53d5803842502e3057bcfb6cf20cdb70b96ec638c15ba67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
55,s11-v2-item-v2:547c607c15571ed98748fa76f539f0ead4e4c26ef0c325bf8f8719f5b4252378,beh2-3.0,same-structure-reoptimization,LOW,COMPLETED,accepted_result,True,-15.335468001671352,-15.336804236064967,0.0013362343936158538,0.0,1,38,32,32,284,94,458,1,0,0,0,8,0,0,34aff76972494bbec5fdcc971214a03c795c0a662131d93661e8573681a62bde,bfe0e1f8af9bbfc83d5a84b691224194d7c384182285728d66afbeea5c1b982d,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,3
56,s11-v2-item-v2:b6272dcb72b15443d74366c0155db010e75af42103fbe7dbcf0a6ee3698a1a9b,beh2-3.0,structural-magnitude-pruning,LOW,COMPLETED,accepted_result,True,-15.335467947765471,-15.336804236064967,0.001336288299496502,5.390588064813073e-08,1,37,31,31,275,89,445,11,0,0,0,1409,16384,14,e6155f8b85fb6acb468b4b144290a8664a4f1a3282c1c338def36317eb7cc6d4,bfbc367f4e76d81bf551775860b31cbd9697b0c0424d0b65ed26ce3054de11af,38,0,0,0,770,0,38,38,38,4,80,8,11,10,370,0,1,0,3
57,s11-v2-item-v2:d25e5d5f02f418c3f3a1351bb0c3d382aea079e9687c3b70431fe0f6aa4b15a4,beh2-3.0,v4.1-one-shot-joint-compression,LOW,ALGORITHM_REJECTED,nonaccepted_terminal_observation,False,-15.335468001671352,-15.336804236064967,0.0013362343936158538,NA,0,38,32,32,284,94,458,126,0,0,0,4302,16384,14,a1ad445c1cd3fe29e13781d2b0215f4cb3eb12b19daf8027a07af39a31566fd7,354af8c7af3ddcfeea315d018ff04f7a8ff3d293ae0a22d313edc0223002b287,14,18,6,0,96,6,4,4,4,4,12,49,126,113,3842,0,1,0,3
58,s11-v2-item-v2:79081d04e115f78b95b98a39934e2fcd77d0ae39609fa1fa73ac7e72a41253d9,beh2-3.0,v5-fixed-source-whitelist-no-replenishment,LOW,COMPLETED,accepted_result,True,-15.33546800106691,-15.336804236064967,0.0013362349980567956,6.044409417427232e-10,1,37,31,31,275,94,445,7,0,0,0,1764,16384,14,2a650cb46e9c2364bee651809586742283703920df407e1d64041c986b8b7b8d,b9158c0cc2738795adc330fabf0313071433046b1646038d44f488ebeaabadfe,73,9,3,0,1133,2,68,56,56,4,116,5,7,6,222,0,1,0,3
59,s11-v2-item-v2:bee767c207e6d20bcd326d546d2b63b620610509075fcc8acd8b1255d402a112,beh2-3.0,v5-sequential-with-rebuilding,LOW,COMPLETED,accepted_result,True,-15.33546800106691,-15.336804236064967,0.0013362349980567956,6.044409417427232e-10,1,37,31,31,275,94,445,7,0,0,0,1764,16384,14,e0d807fc6ee784cf0ed4c8bb70515c1bd3bd028e86a0f87250fa2e2ded25be12,e15654761c1586ac72058725749520b1aeef8646eefe486e88ff708e899462f7,73,9,3,0,1133,2,68,56,56,4,116,5,7,6,222,0,1,0,3
60,s11-v2-item-v2:b1194510731a9da0e1ffae10e75cca5ba7d45ab901666b7430602e8555a316dd,beh2-3.0,immutable-ceo-star-source,MEDIUM,COMPLETED,accepted_result,True,-15.335468001671352,-15.336804236064967,0.0013362343936158538,0.0,0,38,32,32,284,94,458,0,0,0,0,2,0,0,c42b8f02aaf2abfffe5ac9379f1f75e03e6bed9b927f39444636ffbfeb08d603,02f9222f24a6df8b6e75af03c86e3bb0a40532f1e0a155bfdfed16fb78733666,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
61,s11-v2-item-v2:24d894c90a5e2bf0fd28bc34be85e1130d3ef6644e17c496b99527ed449cfdf9,beh2-3.0,same-structure-reoptimization,MEDIUM,COMPLETED,accepted_result,True,-15.335468001671352,-15.336804236064967,0.0013362343936158538,0.0,1,38,32,32,284,94,458,1,0,0,0,8,0,0,d321353b2f13208409db8f7db9d843969ce96255896d670e2a2111e7c8f7f3d9,6144c72ec58432eacb54532ba8eaea9e1f5866c24d0da5ef753995993143d044,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,3
62,s11-v2-item-v2:2ece45440fdcde07baaf87285f36cc233ba9770d0b0f4133e1ebfe91662cd91a,beh2-3.0,structural-magnitude-pruning,MEDIUM,COMPLETED,accepted_result,True,-15.335467947765471,-15.336804236064967,0.001336288299496502,5.390588064813073e-08,1,37,31,31,275,89,445,67,0,0,0,4116,16384,14,b8e2532f7d3c5710bfbcf60b4131413e45fe454b50f272812adf0cb4ec2584d9,1ca8aa567c22780e6dc9b6b6c61db5ae523c4a1570872da7537d64a3f8f78f4b,75,0,0,0,1520,0,75,75,75,8,157,12,67,55,1990,0,2,0,5
63,s11-v2-item-v2:94fd0663a8246bfd9b3ecd1b34d59f3a88cee3f3f1ba08e8acfc8747f625f955,beh2-3.0,v4.1-one-shot-joint-compression,MEDIUM,ALGORITHM_REJECTED,nonaccepted_terminal_observation,False,-15.335468001671352,-15.336804236064967,0.0013362343936158538,NA,0,38,32,32,284,94,458,126,0,0,0,4302,16384,14,3844e4cbb225d9552f17f614a16d5793b17295f1b9d09466d22c45e2d5d3a8a1,5293b753d5c54ccdbc1cac78347bba630926137e1be0396030bb56c6c67d3f65,14,18,6,0,96,6,4,4,4,4,12,49,126,113,3842,0,1,0,3
64,s11-v2-item-v2:ca766c75855aaae5d4822a399f2fe6971a9549462c7ba891f7fe2c1c48e51c90,beh2-3.0,v5-fixed-source-whitelist-no-replenishment,MEDIUM,COMPLETED,accepted_result,True,-15.335467974191966,-15.336804236064967,0.0013362618730017317,2.7479385877882123e-08,2,36,31,31,275,92,442,14,0,0,0,3537,16384,14,7e66d7a05a46057fb3e4142ed25bceb45d144f015207879be54a4502100bd656,1e4a909b7650cc7267208f1d21d40f08b94296b0b301901ed21e8f02e1b0a59c,155,36,12,0,2252,7,135,111,111,8,229,10,14,12,438,0,2,0,5
65,s11-v2-item-v2:bb8e2a320b4dcb35e991f977b688bb2f8b070da44b7777b9cd7c03b6fb6c2041,beh2-3.0,v5-sequential-with-rebuilding,MEDIUM,COMPLETED,accepted_result,True,-15.335467974191966,-15.336804236064967,0.0013362618730017317,2.7479385877882123e-08,2,36,31,31,275,92,442,14,0,0,0,3537,16384,14,54dc3bb756a4cd6e84812c9e0c52a4d49e5f4619eb74ff1f8e06ebcfe3933815,c58e045c71d4cf736e21be60222e74baeec9296984a5aa3bef902c76af48bd6f,155,36,12,0,2252,7,135,111,111,8,229,10,14,12,438,0,2,0,5
66,s11-v2-item-v2:8af8997eaa851bc7fc56af4fee96c30956fe6b9738bcd06763e898720a8834de,beh2-3.0,immutable-ceo-star-source,HIGH,COMPLETED,accepted_result,True,-15.335468001671352,-15.336804236064967,0.0013362343936158538,0.0,0,38,32,32,284,94,458,0,0,0,0,2,0,0,d4b96974b583079a5c3a1de5e8d47861e55c4236c6c8b2da7d06ea90f55729c8,54a73e2527d07bf8f1b44237e8919c9aa91d7996e4b85e0e39e436bb83aa55da,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
67,s11-v2-item-v2:02fda1560ee91c2b5ea9dde3cd70b3feb369e41ebd9262042a9275180e6d2fb3,beh2-3.0,same-structure-reoptimization,HIGH,COMPLETED,accepted_result,True,-15.335468001671352,-15.336804236064967,0.0013362343936158538,0.0,1,38,32,32,284,94,458,1,0,0,0,8,0,0,d8cfc7cddf66a06bb076bcd3663abba9963dc09ed7ffc495cd4fd05cfe2b264e,83aaa21afd2696d3ca97d300ffdd9dd37c4a3905a85495a1333f8db651082f02,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,3
68,s11-v2-item-v2:031ad66acbcfab6ca302d560f666e5f0156b58b2a04b32ad1e0d52254e7fa18b,beh2-3.0,structural-magnitude-pruning,HIGH,COMPLETED,accepted_result,True,-15.335467947765471,-15.336804236064967,0.001336288299496502,5.390588064813073e-08,1,37,31,31,275,89,445,67,0,0,0,4116,16384,14,eba90acda28bf3327e64adff69d4eae210be8b03f176c048762be27747c7c982,f9ae9c6ca55495ffae757b9d3707a3c014fbe77deb78f2cf303aee20eb3eeeff,75,0,0,0,1520,0,75,75,75,8,157,12,67,55,1990,0,2,0,5
69,s11-v2-item-v2:222fe3d060a16508179d2098029c804e825299dac2193936b9d16730a39e2b70,beh2-3.0,v4.1-one-shot-joint-compression,HIGH,ALGORITHM_REJECTED,nonaccepted_terminal_observation,False,-15.335468001671352,-15.336804236064967,0.0013362343936158538,NA,0,38,32,32,284,94,458,126,0,0,0,4302,16384,14,1f7cf8f6cb6eb14ba4d9e6853db3067d5101cbe91435a5e43154bb23d4162e14,bbf02670e9850550cdadd514a90cbbc680b1fcd4a11145b15be493e76b8370fc,14,18,6,0,96,6,4,4,4,4,12,49,126,113,3842,0,1,0,3
70,s11-v2-item-v2:9d04805f7bda38f38330cce28eefda7946a288648220aff1322eae6cfe3053e6,beh2-3.0,v5-fixed-source-whitelist-no-replenishment,HIGH,COMPLETED,accepted_result,True,-15.335467855325515,-15.336804236064967,0.0013363807394526361,1.4634583678230229e-07,4,34,30,30,266,85,426,53,0,0,0,7623,16384,14,d9bcd73c163f2f7c03f535286db742a7a6882fdbfe8b84596c102e822331007a,3d14c9702d9082b50d0c4afc6e0585219bf2b8c6e5b0d969bec2bf0a6fa20ec1,304,90,30,0,4270,15,254,210,210,16,433,20,53,47,1658,0,4,0,9
71,s11-v2-item-v2:9a9bff789b53dfa1773c14e34fb41b1b8e0a9d89c43c568b7c50b2f008aac0e5,beh2-3.0,v5-sequential-with-rebuilding,HIGH,COMPLETED,accepted_result,True,-15.335467855325515,-15.336804236064967,0.0013363807394526361,1.4634583678230229e-07,4,34,30,30,266,85,426,53,0,0,0,7675,16384,14,d8eecbeaf12e524cad418dc0b58b5dc95d3cb0b7aa80e7c83f114448551a1a8a,9ae3aec7edae145e748171b03dd5ca54e62d80728a5584faab1ff1cf9e8649e0,306,90,30,0,4310,15,256,212,212,16,437,20,53,47,1658,0,4,0,9
72,s11-v2-item-v2:39a1e9d4bd6c2ae46ff0856e19bb5a1cd948c9766d001b0845a75ae8af126a6b,h4-1.5-known-development,immutable-ceo-star-source,LOW,COMPLETED,accepted_result,True,-1.9949017237736966,-1.9961503255188093,0.0012486017451127651,0.0,0,10,8,8,80,34,126,0,0,0,0,2,0,0,785cc99293b9d6d7f61a3e6ed1e582123590fd76d1388e16a710557c1e13871c,69ad91f0412f4ba90b124216c6e35aaf9447c4f50e1dbd93637b35469016a9bb,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
73,s11-v2-item-v2:0088bfd04e4717143c60f978bb6f58c33efb0d132715407dabab75090f008f96,h4-1.5-known-development,same-structure-reoptimization,LOW,COMPLETED,accepted_result,True,-1.9949017237736966,-1.9961503255188093,0.0012486017451127651,0.0,1,10,8,8,80,34,126,1,0,0,0,8,0,0,aed1771519ed2da914074d49649a117975fa3b7f51ccc684fd349ac6eb59cb18,d1142cf53dca3dc370965c88aa25b040af454aaedf2521528fbd48cd5a97e111,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,3
74,s11-v2-item-v2:1b45e490a6f5f15b24fdfd0ba7efaae7a8de95928a4107ba73a101d1436f76bf,h4-1.5-known-development,structural-magnitude-pruning,LOW,ALGORITHM_REJECTED,nonaccepted_terminal_observation,False,-1.9949017237736966,-1.9961503255188093,0.0012486017451127651,NA,0,10,8,8,80,34,126,11,0,0,0,276,256,8,0fc9427243829cfb3153c73ad66af451b0aac74854da7e6dbec980755e289e01,43d0b8dc410bc6e7838962d0c8cbaa0b57956d1a73cdd7c79f516f229cbf8cca,10,0,0,0,84,0,10,10,10,4,24,9,11,10,90,0,1,0,3
75,s11-v2-item-v2:42f5f84a6da974ccb2994bd138fcf3cbfb393aa6c1429ddc8b28225a25d3401a,h4-1.5-known-development,v4.1-one-shot-joint-compression,LOW,ALGORITHM_REJECTED,nonaccepted_terminal_observation,False,-1.9949017237736966,-1.9961503255188093,0.0012486017451127651,NA,0,10,8,8,80,34,126,9,0,0,0,226,256,8,5a5cd09ec2f34435e6da995e52afa341182f5cf4d62eeaac52da5d8015218717,d8a7182b47c57c197a7f0252833164847e8a15cd4271021367bf6c5acbb6ea52,19,27,9,0,45,6,4,4,4,4,12,7,9,8,64,0,1,0,3
76,s11-v2-item-v2:af026093449197b887311020318f94394f5cdefa81b4230dc0982c00ca8b9614,h4-1.5-known-development,v5-fixed-source-whitelist-no-replenishment,LOW,ALGORITHM_REJECTED,nonaccepted_terminal_observation,False,-1.9949017237736966,-1.9961503255188093,0.0012486017451127651,NA,0,10,8,8,80,34,126,39,0,0,0,768,256,8,dbc0f49df8af37ed5769cda8c257ccf0d6d01f3b1d2bbcb7053196f5e5ddb568,ddbe0fd29460727141f6566e79ddd19a9d7da28e1274542f84def69c9d793baa,40,36,12,0,144,7,20,16,16,4,42,29,39,35,315,0,4,0,9
77,s11-v2-item-v2:6a1965950027695a386031752d8f357afc9d848faff82f233ed48290b69394e8,h4-1.5-known-development,v5-sequential-with-rebuilding,LOW,ALGORITHM_REJECTED,nonaccepted_terminal_observation,False,-1.9949017237736966,-1.9961503255188093,0.0012486017451127651,NA,0,10,8,8,80,34,126,39,0,0,0,768,256,8,bb9cbd84cdba0a268f289ac0dfbc8a6eec8263e48f8e2f077b1daf1b0f7d3b5e,eb60037e523737b56f0de9e8052377757685b1802bfe678740af7c268eab4e8f,40,36,12,0,144,7,20,16,16,4,42,29,39,35,315,0,4,0,9
78,s11-v2-item-v2:341a4ab37a9589dd972ce1319baf41c628694340e7500ab6a4dae813870a61db,h4-1.5-known-development,immutable-ceo-star-source,MEDIUM,COMPLETED,accepted_result,True,-1.9949017237736966,-1.9961503255188093,0.0012486017451127651,0.0,0,10,8,8,80,34,126,0,0,0,0,2,0,0,be96db38201c8b184fa2ff61f9f71e9b4068d106e1c2499be89e0b784a832cbb,56e8464f2be18cb2ecddbadea25f9383cedbb056f9091abd55da836e345cf5ac,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
79,s11-v2-item-v2:17256334f0287cde83c0a67b4028292728f11db11d2cf6e1088e0188fa4b03d8,h4-1.5-known-development,same-structure-reoptimization,MEDIUM,COMPLETED,accepted_result,True,-1.9949017237736966,-1.9961503255188093,0.0012486017451127651,0.0,1,10,8,8,80,34,126,1,0,0,0,8,0,0,fcc4d0f6afe3bc5b876177f767731bd0f41c8568f415333f8b2d46a5d21327fd,4c5edd71e3e4f6731b9acece376e12a5e64b4fad1f3995f360527a0325336e66,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,3
80,s11-v2-item-v2:3f593450f040faae5bdde39d8d86ce050e32e63862e2159de23d3ffe48ff0e98,h4-1.5-known-development,structural-magnitude-pruning,MEDIUM,ALGORITHM_REJECTED,nonaccepted_terminal_observation,False,-1.9949017237736966,-1.9961503255188093,0.0012486017451127651,NA,0,10,8,8,80,34,126,11,0,0,0,276,256,8,82f8633db62840110ca5d4bd7ef028117e39cec12dd5a058c17358eb1f92c36f,6d5e9677f718b152b2eb8401eac5a0e6f3b4e28453d7253eb41034d214efbd70,10,0,0,0,84,0,10,10,10,4,24,9,11,10,90,0,1,0,3
81,s11-v2-item-v2:adf2397a52d33da23d1d9fdfe8cd3ba0f7df9fec830109dc021f06e1e62fec54,h4-1.5-known-development,v4.1-one-shot-joint-compression,MEDIUM,ALGORITHM_REJECTED,nonaccepted_terminal_observation,False,-1.9949017237736966,-1.9961503255188093,0.0012486017451127651,NA,0,10,8,8,80,34,126,9,0,0,0,226,256,8,1c5b177693e982184dec2ad91fe6c895884b0115529bf0c941629002acb421cb,dc4928881718b8f4197cd38a0c8edf996a81a7fdb3d68309bc9f594d3789c8ea,19,27,9,0,45,6,4,4,4,4,12,7,9,8,64,0,1,0,3
82,s11-v2-item-v2:0fdc7f87b5a988b0d80dac8a08d08699b41d96efdebdf399b1448669d5386ab5,h4-1.5-known-development,v5-fixed-source-whitelist-no-replenishment,MEDIUM,ALGORITHM_REJECTED,nonaccepted_terminal_observation,False,-1.9949017237736966,-1.9961503255188093,0.0012486017451127651,NA,0,10,8,8,80,34,126,39,0,0,0,768,256,8,94d73a59ea1d85e25560c02181a4f618a80b2d69a6657dbf74a048074ed7b910,5ea025183317b1d7dc8ddb3ef22dcd27855dbb485c8f0fe14bf3b9c1d7236360,40,36,12,0,144,7,20,16,16,4,42,29,39,35,315,0,4,0,9
83,s11-v2-item-v2:e202bc2751b165824e1433fdb49300d31a80dbc9d8c9fb4d8881a1b4f1fd768c,h4-1.5-known-development,v5-sequential-with-rebuilding,MEDIUM,ALGORITHM_REJECTED,nonaccepted_terminal_observation,False,-1.9949017237736966,-1.9961503255188093,0.0012486017451127651,NA,0,10,8,8,80,34,126,39,0,0,0,768,256,8,2e4489caa9ddf7a3075c5366aacbda1508d8091584f67a4920f217ba88646b4e,23d64881055508d5f03a104b218cda5f446ba485508deeb35755610c64ab14d0,40,36,12,0,144,7,20,16,16,4,42,29,39,35,315,0,4,0,9
84,s11-v2-item-v2:7a7be67ffa2f669bd8fdcd338ad1c26d0ec16073a44fae2fb0e7c3e9ce2f8d22,h4-1.5-known-development,immutable-ceo-star-source,HIGH,COMPLETED,accepted_result,True,-1.9949017237736966,-1.9961503255188093,0.0012486017451127651,0.0,0,10,8,8,80,34,126,0,0,0,0,2,0,0,7f8104a197341837ee0afebd7b288387259c42346a11cbe4a2bd415752fa95e6,31fd54d3f53c8b8091d49ade758ab54b2474bb35a3069e3b3a2c2f3f3ae36308,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
85,s11-v2-item-v2:d677407589357245aa49b237cf32cddb85f3b3c456340bb58c197b61eafafc98,h4-1.5-known-development,same-structure-reoptimization,HIGH,COMPLETED,accepted_result,True,-1.9949017237736966,-1.9961503255188093,0.0012486017451127651,0.0,1,10,8,8,80,34,126,1,0,0,0,8,0,0,c039128d92e74782d61e7de69cd1a874b143a7cff311c319faff2246b23b9220,84d5a9e11c39dee2709624ba479da4d16829111ec3e2c777a93642c71de8c470,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,3
86,s11-v2-item-v2:6985ed6012867110d47f21e7c099ed8a2150c89bc37f69d4e3b0997f84438243,h4-1.5-known-development,structural-magnitude-pruning,HIGH,ALGORITHM_REJECTED,nonaccepted_terminal_observation,False,-1.9949017237736966,-1.9961503255188093,0.0012486017451127651,NA,0,10,8,8,80,34,126,11,0,0,0,276,256,8,c34b0460550e3fdde293307ab8d12759ca8a11d5735a9e56739f85b921a6b44b,4f0076cbbdb61257e728e21d6327efe969131d47b364169eb33b75c8c606161b,10,0,0,0,84,0,10,10,10,4,24,9,11,10,90,0,1,0,3
87,s11-v2-item-v2:ddcf66dc9c1db73bc26100313e8cc638443f64eae8937fa8ec862b5c96235df5,h4-1.5-known-development,v4.1-one-shot-joint-compression,HIGH,ALGORITHM_REJECTED,nonaccepted_terminal_observation,False,-1.9949017237736966,-1.9961503255188093,0.0012486017451127651,NA,0,10,8,8,80,34,126,9,0,0,0,226,256,8,00d5321eb641172f77f05a4ef76f4794383ed3e2e6b7f85d3e962ba29523b478,fcfa53ed8135459bf787fefc003834abf974e47079f4322a26c86f446b5cf2b6,19,27,9,0,45,6,4,4,4,4,12,7,9,8,64,0,1,0,3
88,s11-v2-item-v2:3158a2b5be2a87f38203cc9328ece65275b91daa582135792fb7315945529e5f,h4-1.5-known-development,v5-fixed-source-whitelist-no-replenishment,HIGH,ALGORITHM_REJECTED,nonaccepted_terminal_observation,False,-1.9949017237736966,-1.9961503255188093,0.0012486017451127651,NA,0,10,8,8,80,34,126,39,0,0,0,768,256,8,8969b5900fad1bdb930dc93cebd93e0021fb10a603bc1e90c8941464c174af40,a343352cfca481a5b0889db9548e88af39150f5af6da3bdb06da304e86874dd7,40,36,12,0,144,7,20,16,16,4,42,29,39,35,315,0,4,0,9
89,s11-v2-item-v2:45d650bb7d179be512f2435ee571a7d1b3e6333f8aae671d6b4f397a0fef564e,h4-1.5-known-development,v5-sequential-with-rebuilding,HIGH,ALGORITHM_REJECTED,nonaccepted_terminal_observation,False,-1.9949017237736966,-1.9961503255188093,0.0012486017451127651,NA,0,10,8,8,80,34,126,39,0,0,0,768,256,8,436a9089514e16a6f398d3413138b83aff50fb8e7ea13baaeffc6d1bd13da774,d6badf5b5458addf5a5c29e6d1ecee7d38d96fd55a54ba5df1fceca574035753,40,36,12,0,144,7,20,16,16,4,42,29,39,35,315,0,4,0,9
